timestamp,chassis.power_fb.power @ 0x2001C568,chassis.motor_3508[0].fb_current @ 0x2001C1F0,chassis.motor_3508[0].fb_speed @ 0x2001C1E8,chassis.motor_3508[0].give_current @ 0x2001C21C,chassis.power_prediction.model_power[0] @ 0x2001C5B4
1.444401,0.545080,-0.041504,0.000000,0.000000,0.000000
0.000001,0.652843,0.031738,0.000000,0.000000,0.000000
0.005082,0.511133,-0.026855,0.000000,0.000000,0.000000
0.011198,0.649524,-0.034180,0.000000,0.000000,0.000000
0.014455,0.658009,-0.034180,0.000000,0.000000,0.000000
0.020181,0.456198,-0.026855,0.000000,0.000000,0.000000
0.026864,0.797424,0.040283,0.000000,0.000000,0.000000
0.030151,0.547883,0.040283,0.000000,0.000000,0.000000
0.036200,0.687935,-0.100098,0.000000,0.000000,0.000000
0.039488,0.695340,-0.034180,0.000000,0.000000,0.000000
0.043792,0.280078,0.040283,0.000000,0.000000,0.000000
0.049250,0.886985,-0.034180,0.000000,0.000000,0.000000
0.055613,0.688537,-0.034180,0.000000,0.000000,0.000000
0.059171,0.687940,-0.034180,0.000000,0.000000,0.000000
0.067167,0.687996,0.040283,0.000000,0.000000,0.000000
0.071087,0.650848,0.047607,0.000000,0.000000,0.000000
0.076434,0.500990,-0.026855,0.000000,0.000000,0.000000
0.082541,0.656518,-0.034180,0.000000,0.000000,0.000000
0.086373,0.656518,0.040283,0.000000,0.000000,0.000000
0.089688,0.656518,0.047607,0.000000,0.000000,0.000000
0.093343,0.656518,0.040283,0.000000,0.000000,0.000000
0.099785,0.656518,-0.034180,0.000000,0.000000,0.000000
0.105037,0.656518,0.040283,0.000000,0.000000,0.000000
0.112285,0.502504,0.113525,0.000000,0.000000,0.000000
0.117719,0.656821,0.040283,0.000000,0.000000,0.000000
0.122697,0.463998,-0.107422,0.000000,0.000000,0.000000
0.134035,0.695224,-0.034180,0.000000,0.000000,0.000000
0.137377,0.695224,-0.034180,0.000000,0.000000,0.000000
0.140976,0.695224,0.040283,0.000000,0.000000,0.000000
0.144422,0.510245,0.040283,0.000000,0.000000,0.000000
0.147682,0.650906,0.040283,0.000000,0.000000,0.000000
0.153012,0.650906,-0.034180,0.000000,0.000000,0.000000
0.159349,0.510209,-0.026855,0.000000,0.000000,0.000000
0.162794,0.658842,0.113525,0.000000,0.000000,0.000000
0.169481,0.658842,-0.034180,0.000000,0.000000,0.000000
0.173082,0.658842,0.054932,0.000000,0.000000,0.000000
0.176395,0.658842,0.031738,0.000000,0.000000,0.000000
0.183699,0.502648,0.047607,0.000000,0.000000,0.000000
0.189098,0.502648,0.120850,0.000000,0.000000,0.000000
0.193579,0.502648,-0.034180,0.000000,0.000000,0.000000
0.196841,0.502648,0.040283,0.000000,0.000000,0.000000
0.201683,0.502648,-0.026855,0.000000,0.000000,0.000000
0.207367,0.502648,0.031738,0.000000,0.000000,0.000000
0.211696,0.502648,-0.018311,0.000000,0.000000,0.000000
0.215688,0.502648,0.040283,0.000000,0.000000,0.000000
0.219317,0.502648,-0.034180,0.000000,0.000000,0.000000
0.224759,0.502648,-0.026855,0.000000,0.000000,0.000000
0.228348,0.502648,0.040283,0.000000,0.000000,0.000000
0.233354,0.502648,-0.034180,0.000000,0.000000,0.000000
0.236602,0.502648,-0.034180,0.000000,0.000000,0.000000
0.240446,0.502648,0.113525,0.000000,0.000000,0.000000
0.245757,0.502648,0.031738,0.000000,0.000000,0.000000
0.252381,0.506934,0.031738,0.000000,0.000000,0.000000
0.258962,0.651005,0.040283,0.000000,0.000000,0.000000
0.263054,0.510228,-0.034180,0.000000,0.000000,0.000000
0.271390,0.658374,-0.026855,0.000000,0.000000,0.000000
0.274771,0.721577,0.031738,0.000000,0.000000,0.000000
0.278021,0.702573,-0.034180,0.000000,0.000000,0.000000
0.281911,0.621333,-0.041504,0.000000,0.000000,0.000000
0.285844,0.508358,0.040283,0.000000,0.000000,0.000000
0.289154,0.657992,0.047607,0.000000,0.000000,0.000000
0.292430,0.657992,-0.041504,0.000000,0.000000,0.000000
0.297845,0.657992,-0.026855,0.000000,0.000000,0.000000
0.301335,0.657992,0.040283,0.000000,0.000000,0.000000
0.306355,0.657992,0.040283,0.000000,0.000000,0.000000
0.309956,0.657992,-0.092773,0.000000,0.000000,0.000000
0.315847,0.657992,-0.041504,0.000000,0.000000,0.000000
0.321286,0.657992,-0.018311,0.000000,0.000000,0.000000
0.329546,0.502478,-0.034180,0.000000,0.000000,0.000000
0.335055,0.502478,-0.041504,0.000000,0.000000,0.000000
0.338249,0.502478,0.031738,0.000000,0.000000,0.000000
0.341799,0.502478,-0.034180,0.000000,0.000000,0.000000
0.345391,0.502478,0.040283,0.000000,0.000000,0.000000
0.350836,0.502478,-0.034180,0.000000,0.000000,0.000000
0.354832,0.502478,0.040283,0.000000,0.000000,0.000000
0.365291,0.502478,0.040283,0.000000,0.000000,0.000000
0.368743,0.502478,0.031738,0.000000,0.000000,0.000000
0.372943,0.502478,0.113525,0.000000,0.000000,0.000000
0.376150,0.502478,-0.034180,0.000000,0.000000,0.000000
0.379393,0.471696,0.031738,0.000000,0.000000,0.000000
0.384251,0.502471,-0.026855,0.000000,0.000000,0.000000
0.387792,0.864219,-0.034180,0.000000,0.000000,0.000000
0.394034,0.689276,-0.034180,0.000000,0.000000,0.000000
0.398994,0.658013,0.040283,0.000000,0.000000,0.000000
0.404469,0.472631,0.031738,0.000000,0.000000,0.000000
0.407689,0.925015,-0.034180,0.000000,0.000000,0.000000
0.413751,0.652731,0.040283,0.000000,0.000000,0.000000
0.419687,0.767869,-0.041504,0.000000,0.000000,0.000000
0.423163,0.767869,-0.034180,0.000000,0.000000,0.000000
0.426449,0.767869,0.047607,0.000000,0.000000,0.000000
0.431190,0.524454,0.047607,0.000000,0.000000,0.000000
0.439240,0.524454,-0.041504,0.000000,0.000000,0.000000
0.444510,0.524454,-0.034180,0.000000,0.000000,0.000000
0.448184,0.524454,-0.041504,0.000000,0.000000,0.000000
0.451434,0.524454,0.047607,0.000000,0.000000,0.000000
0.454784,0.524454,-0.100098,0.000000,0.000000,0.000000
0.461325,0.524454,0.031738,0.000000,0.000000,0.000000
0.464690,0.524454,0.040283,0.000000,0.000000,0.000000
0.468985,0.524454,-0.107422,0.000000,0.000000,0.000000
0.477434,0.524454,-0.034180,0.000000,0.000000,0.000000
0.480707,0.524454,-0.026855,0.000000,0.000000,0.000000
0.486448,0.524454,-0.034180,0.000000,0.000000,0.000000
0.489717,0.524454,-0.034180,0.000000,0.000000,0.000000
0.495459,0.524454,-0.034180,0.000000,0.000000,0.000000
0.498701,0.524454,0.031738,0.000000,0.000000,0.000000
0.503731,0.524454,-0.041504,0.000000,0.000000,0.000000
0.510762,0.524454,0.040283,0.000000,0.000000,0.000000
0.514699,0.524454,-0.034180,0.000000,0.000000,0.000000
0.518339,0.524454,0.040283,0.000000,0.000000,0.000000
0.523982,0.471182,-0.107422,0.000000,0.000000,0.000000
0.530238,0.463673,0.040283,0.000000,0.000000,0.000000
0.535005,0.463673,0.040283,0.000000,0.000000,0.000000
0.539026,0.463673,-0.026855,0.000000,0.000000,0.000000
0.543332,0.463673,-0.034180,0.000000,0.000000,0.000000
0.547503,0.463673,0.040283,0.000000,0.000000,0.000000
0.553690,0.463673,-0.034180,0.000000,0.000000,0.000000
0.558601,0.463673,0.031738,0.000000,0.000000,0.000000
0.563488,0.463673,-0.034180,0.000000,0.000000,0.000000
0.566839,0.463673,0.113525,0.000000,0.000000,0.000000
0.573073,0.463673,-0.034180,0.000000,0.000000,0.000000
0.586500,0.463673,-0.034180,0.000000,0.000000,0.000000
0.589993,0.463673,-0.041504,0.000000,0.000000,0.000000
0.596204,0.463673,-0.034180,0.000000,0.000000,0.000000
0.602594,0.463673,0.031738,0.000000,0.000000,0.000000
0.609248,0.463673,-0.107422,0.000000,0.000000,0.000000
0.615502,0.463673,-0.034180,0.000000,0.000000,0.000000
0.619924,0.649535,-0.034180,0.000000,0.000000,0.000000
0.626762,0.500787,-0.034180,0.000000,0.000000,0.000000
0.630802,0.500787,0.040283,0.000000,0.000000,0.000000
0.636435,0.656477,-0.034180,0.000000,0.000000,0.000000
0.643239,0.509668,-0.034180,0.000000,0.000000,0.000000
0.646690,0.330477,-0.632324,0.000000,0.000000,0.000000
0.652522,0.330477,0.040283,0.000000,0.000000,0.000000
0.658699,0.330477,-0.034180,0.000000,0.000000,0.000000
0.662114,0.330477,-0.041504,0.000000,0.000000,0.000000
0.672320,0.324481,-0.041504,0.000000,0.000000,0.000000
0.675693,0.643475,0.040283,0.000000,0.000000,0.000000
0.679476,0.650466,0.047607,0.000000,0.000000,0.000000
0.687279,0.724837,-0.034180,0.000000,0.000000,0.000000
0.694349,0.701287,-0.034180,0.000000,0.000000,0.000000
0.697540,0.701287,-0.026855,0.000000,0.000000,0.000000
0.701092,0.697057,0.040283,0.000000,0.000000,0.000000
0.705452,0.695946,0.047607,0.000000,0.000000,0.000000
0.709697,0.656829,0.040283,0.000000,0.000000,0.000000
0.715708,0.732486,-0.034180,0.000000,0.000000,0.000000
0.719544,0.725367,-0.034180,0.000000,0.000000,0.000000
0.723448,0.510108,0.047607,0.000000,0.000000,0.000000
0.728258,0.874164,-0.026855,0.000000,0.000000,0.000000
0.734558,0.688118,-0.048828,0.000000,0.000000,0.000000
0.739875,0.652022,-0.034180,0.000000,0.000000,0.000000
0.743971,0.428310,-0.034180,0.000000,0.000000,0.000000
0.748694,0.517642,0.040283,0.000000,0.000000,0.000000
0.753914,0.880769,0.031738,0.000000,0.000000,0.000000
0.757525,0.511763,0.040283,0.000000,0.000000,0.000000
0.764135,0.612337,-0.034180,0.000000,0.000000,0.000000
0.770825,0.650541,0.047607,0.000000,0.000000,0.000000
0.776443,0.656997,-0.034180,0.000000,0.000000,0.000000
0.779712,0.695573,-0.041504,0.000000,0.000000,0.000000
0.785699,0.428389,-0.100098,0.000000,0.000000,0.000000
0.789030,0.678915,-0.034180,0.000000,0.000000,0.000000
0.793207,0.687684,0.106201,0.000000,0.000000,0.000000
0.796345,0.472810,-0.034180,0.000000,0.000000,0.000000
0.799699,0.686976,0.047607,0.000000,0.000000,0.000000
0.803583,0.508879,-0.041504,0.000000,0.000000,0.000000
0.807339,0.651395,0.040283,0.000000,0.000000,0.000000
0.813505,0.687079,0.040283,0.000000,0.000000,0.000000
0.817725,0.693736,0.047607,0.000000,0.000000,0.000000
0.823158,0.509627,-0.026855,0.000000,0.000000,0.000000
0.827856,0.650881,-0.041504,0.000000,0.000000,0.000000
0.833746,0.501056,0.040283,0.000000,0.000000,0.000000
0.839322,0.501056,-0.034180,0.000000,0.000000,0.000000
0.844560,0.501056,-0.034180,0.000000,0.000000,0.000000
0.851780,0.501056,0.031738,0.000000,0.000000,0.000000
0.856835,0.279658,-0.034180,0.000000,0.000000,0.000000
0.860717,0.279658,-0.041504,0.000000,0.000000,0.000000
0.865954,0.279658,-0.034180,0.000000,0.000000,0.000000
